,date,title,source,contents,link
0,1일 전,"MR헤드셋 공개한 애플, 가상현실 시장 살릴까",조선일보언론사 선정,쿡 CEO는 곧이어 애플의 첫 MR(혼합현실) 헤드셋 ‘비전 프로(Vision Pro)’를 공개했다. 애플이 2014년 스마트워치 애플워치를 내놓은 지 9년 만에 공개한 주요 하드웨어 신제품이다. 이 헤드셋 개발을 위해 애플 엔지니어...,https://www.chosun.com/economy/economy_general/2023/06/07/2QT3QPO3H5AMVINGBZXPSRBHM4/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news
1,21시간 전,"애플 'MR 헤드셋' 비전프로 공개…외신들 ""미래를 본듯""",뉴시스언론사 선정,"애플이 혼합현실(MR) 헤드셋인 비전프로(Vision Pro)를 출시하면서 또 한번 정보기술(IT)업계를 주도하려 하고... WSJ는 메타와 바이트댄스는 500달러 미만의 헤드셋을 제공한다면서 ""한 가지 문제는 사람들이 장치가...",http://www.newsis.com/view/?id=NISX20230607_0002329555&cID=10101&pID=10100
2,47분 전,"""스티브 잡스도 MR 헤드셋 '비전 프로' 좋아했을 것"" 前 CNN CEO의 호평 [글로...",파이낸셜뉴스언론사 선정,"타임지 전 편집장이자 CNN 전 최고경영자(CEO)인 월터 아이작슨 아스펜연구소 CEO가 최근 애플이 공개한 혼합현실(MR) 헤드셋 '비전 프로(Vision Pro)'를 두고 ""스티브 잡스가 살아 있었다면 비전프로 헤드셋을 좋아했을...",http://www.fnnews.com/news/202306080725353513
3,4시간 전,애플 9년만에 야심작 MR헤드셋 공개…수혜주는 어디?,이데일리언론사 선정,애플이 혼합현실(MR) 헤드셋 ‘비전 프로(Vision Pro)’를 공개한 가운데 시장에서는 수혜주 찾기에... 7일 금융투자업계에 따르면 애플은 지난 5일(현지시간) MR 헤드셋 비전 프로를 선보였다. 이 제품은 애플이 2014년...,http://www.edaily.co.kr/news/newspath.asp?newsid=01151286635639752
4,15시간 전,"[단독] 혁신외친 팀쿡, 확신없었다 … 헤드셋 다팔려도 매출 0.1% 불과",매일경제언론사 선정,AR·VR헤드셋 올 출하 18%↓ 발표일 당일 주가 0.2% 하락 시장서도 목표가 전망 엇갈려 ◆ 불확실성 커진 애플 ◆ 애플이 혼합현실(MR) 헤드셋 '비전프로'의 총판매 목표를 15만대로 크게 낮춰 잡은 까닭은 새 제품에 대한...,https://www.mk.co.kr/article/10754591
5,1일 전,“코 무겁고 메스꺼운 느낌” 야심작 헤드셋에 실망?…애플 주가 이틀연속 하...,헤럴드경제,애플이 야심차게 공개한 혼합현실(MR) 헤드셋 '비전 프로'(Vision Pro) 기술을 선보였다. 지난 5일(현지시간)... 그러나 헤드셋 등의 무게감으로 다소 불편했고 심지어 메쓰꺼움이 느껴졌다는 지적도 나왔다. 본격적인...,http://news.heraldcorp.com/view.php?ud=20230607000075
6,2시간 전,애플 '비전 프로' 공개로 막오른 'MR 헤드셋' 경쟁… 삼성은,머니S언론사 선정,애플이 혼합현실(MR) 헤드셋 '애플 비전 프로(Vision Pro)'을 공개하면서 정보기술(IT) 업계 메타버스 헤드셋 경쟁이 본격화됐다. 애플은 지난 5일(현지시각) 미국 캘리포니아주 쿠퍼티노에 있는 애플파크에서...,http://moneys.mt.co.kr/news/mwView.php?no=2023060716012883751
7,16시간 전,"애플 MR 헤드셋, 메타버스 다시 띄울까",매일신문,애플의 혼합현실(MR) 헤드셋 출시가 메타버스 시장에 활력을 불어넣을 수 있을지 귀추가 주목된다.... 애플은 지난 5일 미국 캘리포니아 애플파크에서 열린 세계 개발자 회의(WWDC)에서 MR 헤드셋 '비전프로(Vision Pro)'를...,https://news.imaeil.com/page/view/2023060715411978027
8,22시간 전,[종목이슈] 애플 MR헤드셋 공개에 '덕우전자' 수혜 기대↑,아이뉴스24언론사 선정,(MR) 헤드셋 비전 프로(Vision Pro) 출시(예정) 수혜를 볼 전망이다. MR은 현실 세계에 3차원 가상 물체를 겹친... 애플은 행사에서 MR 헤드셋 비전 프로를 공간 컴퓨팅(Spatial Computing) 기기라고 소개하고 카메라 12개를 탑재...,http://www.inews24.com/view/1600381
9,21시간 전,"‘XR 헤드셋’ 쓰고… 앙숙, 또 맞붙었다",문화일보언론사 선정,"■ 애플 ‘비전 프로’ 헤드셋 공개 팀쿡,2년전 개인정보 정책 바꿔 메타 주력 수익모델 치명상 입혀 XR 81... XR 헤드셋 ‘비전 프로’에 대해 “비전 프로는 오늘 일어나고 있는 내일의 공학으로, 기술의 전환점이자 큰...",https://www.munhwa.com/news/view.html?no=2023060701031707018001
